Season,Date,Referee,HomeTeam,AwayTeam,FullTime,HalfTime,HomeGoals,HomeGoalsHalftime,HomeShots,HomeShotsOnTarget,HomeCorners,HomeFouls,HomeYellowCards,HomeRedCards,AwayGoals,AwayGoalsHalftime,AwayShots,AwayShotsOnTarget,AwayCorners,AwayFouls,AwayYellowCards,AwayRedCards
2010/11,2010-08-14,23,Aston Villa,"West 
Ham",HomeWin,HomeWin,3,2,23,11,16,15,1,0,0,0,12,2,7,15,2,0
2010/11,2010-08-14,29,Blackburn,Everton,HomeWin,HomeWin,1,1,7,2,1,19,2,0,0,0,17,12,3,14,1,0
2010/11,2010-08-14,16,Bolton,Fulham,Draw,Draw,0,0,13,9,4,12,1,0,0,0,12,7,8,13,3,0
2010/11,2010-08-14,3,Chelsea,"West 
Brom",HomeWin,HomeWin,6,2,18,13,3,10,1,0,0,0,10,4,1,10,0,0
2010/11,2010-08-14,35,Sunderland,Birmingham,Draw,HomeWin,2,1,6,2,3,13,3,1,2,0,13,7,6,10,3,0
2010/11,2010-08-14,32,Tottenham,"Man 
City",Draw,Draw,0,0,22,18,10,13,0,0,0,0,11,7,3,16,2,0
2010/11,2010-08-14,22,Wigan,Blackpool,AwayWin,AwayWin,0,0,11,6,6,8,1,0,4,3,9,7,4,11,1,0
2010/11,2010-08-14,14,Wolves,Stoke,HomeWin,HomeWin,2,2,13,7,5,17,0,0,1,0,10,6,5,13,2,0
2010/11,2010-08-15,6,Liverpool,Arsenal,Draw,Draw,1,0,7,4,9,13,1,1,1,0,14,7,11,15,3,1
2010/11,2010-08-16,17,"Man 
United",Newcastle,HomeWin,HomeWin,3,2,18,10,5,9,2,0,0,0,7,3,3,5,2,0
2010/11,2010-08-21,8,Arsenal,Blackpool,HomeWin,HomeWin,6,3,26,16,8,9,0,0,0,0,3,1,2,3,0,1
2010/11,2010-08-21,4,Birmingham,Blackburn,HomeWin,Draw,2,0,10,7,4,13,2,0,1,0,7,2,12,14,3,0
2010/11,2010-08-21,15,Everton,Wolves,Draw,HomeWin,1,1,14,6,3,18,1,0,1,0,9,4,3,15,2,0
2010/11,2010-08-21,17,Stoke,Tottenham,AwayWin,AwayWin,1,1,15,10,6,15,3,0,2,2,7,6,2,4,1,0
2010/11,2010-08-21,11,"West 
Brom",Sunderland,HomeWin,Draw,1,0,11,5,4,16,2,0,0,0,10,4,6,12,2,0
2010/11,2010-08-21,32,"West 
Ham",Bolton,AwayWin,Draw,1,0,17,10,8,11,2,0,3,0,12,8,5,18,4,0
2010/11,2010-08-21,23,Wigan,Chelsea,AwayWin,AwayWin,0,0,17,12,0,12,1,0,6,1,10,8,0,7,2,0
2010/11,2010-08-22,10,Fulham,"Man 
United",Draw,AwayWin,2,0,16,8,5,7,2,0,2,1,14,7,11,6,2,0
2010/11,2010-08-22,6,Newcastle,"Aston 
Villa",HomeWin,HomeWin,6,3,20,14,10,15,3,0,0,0,3,1,2,12,1,0
2010/11,2010-08-23,29,"Man 
City",Liverpool,HomeWin,HomeWin,3,1,8,3,5,13,1,0,0,0,13,7,4,12,1,0
2010/11,2010-08-28,17,Blackburn,Arsenal,AwayWin,Draw,1,1,15,7,4,9,1,0,2,1,14,9,8,7,0,0
2010/11,2010-08-28,4,Blackpool,Fulham,Draw,AwayWin,2,0,14,5,4,13,1,0,2,1,12,7,5,16,0,0
2010/11,2010-08-28,6,Chelsea,Stoke,HomeWin,HomeWin,2,1,15,6,6,5,0,0,0,0,9,3,1,10,2,0
2010/11,2010-08-28,3,Man United,"West 
Ham",HomeWin,HomeWin,3,1,18,11,9,6,1,0,0,0,7,2,3,11,2,0
2010/11,2010-08-28,29,Tottenham,Wigan,AwayWin,Draw,0,0,12,7,16,10,3,0,1,0,13,5,7,11,2,0
2010/11,2010-08-28,16,Wolves,Newcastle,Draw,HomeWin,1,1,5,2,5,20,7,0,1,0,11,6,3,17,4,0
2010/11,2010-08-29,8,"Aston 
Villa",Everton,HomeWin,HomeWin,1,1,12,6,4,19,4,0,0,0,15,9,16,10,0,0
2010/11,2010-08-29,11,Bolton,Birmingham,Draw,AwayWin,2,0,11,8,6,19,2,1,2,1,9,5,1,17,3,0
2010/11,2010-08-29,14,Liverpool,"West 
Brom",HomeWin,Draw,1,0,11,7,7,9,0,0,0,0,14,5,6,8,0,1
2010/11,2010-08-29,23,Sunderland,"Man 
City",HomeWin,Draw,1,0,12,4,3,5,0,0,0,0,9,7,7,9,3,0
2010/11,2010-09-11,16,Arsenal,Bolton,HomeWin,Draw,4,1,23,14,9,11,2,0,1,1,7,6,6,11,2,1
2010/11,2010-09-11,6,Everton,"Man 
United",Draw,Draw,3,1,23,14,7,11,1,0,3,1,13,8,5,18,1,0
2010/11,2010-09-11,29,Fulham,Wolves,HomeWin,AwayWin,2,0,13,6,6,9,3,0,1,1,4,2,6,17,6,1
2010/11,2010-09-11,3,"Man 
City",Blackburn,Draw,AwayWin,1,0,20,14,14,12,2,0,1,1,4,2,2,10,1,0
2010/11,2010-09-11,15,Newcastle,Blackpool,AwayWin,AwayWin,0,0,16,13,3,15,2,0,2,1,7,4,2,14,3,0
2010/11,2010-09-11,33,"West 
Brom",Tottenham,Draw,Draw,1,1,15,8,9,12,2,0,1,1,16,9,4,9,1,0
2010/11,2010-09-11,17,"West 
Ham",Chelsea,AwayWin,AwayWin,1,0,13,7,1,13,2,0,3,2,17,9,5,10,2,0
2010/11,2010-09-11,32,Wigan,Sunderland,Draw,Draw,1,0,17,4,5,19,4,0,1,0,4,2,1,11,2,1
2010/11,2010-09-12,22,Birmingham,Liverpool,Draw,Draw,0,0,15,3,4,8,1,0,0,0,14,8,3,9,0,0
2010/11,2010-09-13,14,Stoke,"Aston 
Villa",HomeWin,AwayWin,2,0,20,12,8,11,1,0,1,1,10,6,7,14,2,0
2010/11,2010-09-18,23,"Aston 
Villa",Bolton,Draw,Draw,1,1,13,6,8,15,1,0,1,1,13,7,4,8,2,0
2010/11,2010-09-18,35,Blackburn,Fulham,Draw,HomeWin,1,1,9,5,3,15,0,0,1,0,9,4,3,10,1,0
2010/11,2010-09-18,32,Everton,Newcastle,AwayWin,AwayWin,0,0,6,3,3,15,2,0,1,1,9,4,6,21,3,0
2010/11,2010-09-18,15,Stoke,"West 
Ham",Draw,AwayWin,1,0,9,3,6,14,3,0,1,1,13,6,3,8,2,0
2010/11,2010-09-18,29,Sunderland,Arsenal,Draw,AwayWin,1,0,16,5,11,11,2,0,1,1,16,7,3,13,2,1
2010/11,2010-09-18,8,Tottenham,Wolves,HomeWin,AwayWin,3,0,20,11,5,7,3,0,1,1,5,2,4,11,3,0
2010/11,2010-09-18,17,"West 
Brom",Birmingham,HomeWin,AwayWin,3,0,16,10,5,11,1,0,1,1,6,3,0,8,1,0
2010/11,2010-09-19,3,Chelsea,Blackpool,HomeWin,HomeWin,4,4,27,15,9,7,1,0,0,0,11,4,6,4,2,0
2010/11,2010-09-19,33,"Man 
United",Liverpool,HomeWin,HomeWin,3,1,16,7,6,15,4,0,2,0,7,1,1,10,1,0
2010/11,2010-09-19,14,Wigan,"Man 
City",AwayWin,AwayWin,0,0,9,3,3,10,1,0,2,1,11,5,1,14,2,0
2010/11,2010-09-25,4,Arsenal,"West 
Brom",AwayWin,Draw,2,0,24,12,16,15,4,0,3,0,7,5,4,14,3,0
2010/11,2010-09-25,3,Birmingham,Wigan,Draw,Draw,0,0,10,4,3,12,2,1,0,0,17,10,7,18,3,0
2010/11,2010-09-25,23,Blackpool,Blackburn,AwayWin,AwayWin,1,0,11,8,8,12,2,0,2,1,13,8,8,11,1,0
2010/11,2010-09-25,33,Fulham,Everton,Draw,Draw,0,0,12,2,4,15,2,0,0,0,15,7,5,13,1,0
2010/11,2010-09-25,16,Liverpool,Sunderland,Draw,Draw,2,1,13,5,3,15,3,0,2,1,10,1,3,7,1,0
2010/11,2010-09-25,32,"Man 
City",Chelsea,HomeWin,Draw,1,0,8,6,3,10,2,0,0,0,15,4,4,12,3,0
2010/11,2010-09-25,6,"West 
Ham",Tottenham,HomeWin,HomeWin,1,1,22,15,14,10,2,0,0,0,17,11,7,11,0,0
2010/11,2010-09-26,29,Bolton,"Man 
United",Draw,Draw,2,1,15,9,7,16,1,0,2,1,12,6,12,18,2,0
2010/11,2010-09-26,8,Newcastle,Stoke,AwayWin,HomeWin,1,1,11,7,3,8,0,0,2,0,8,2,4,11,1,0
2010/11,2010-09-26,22,Wolves,"Aston 
Villa",AwayWin,AwayWin,1,0,14,12,5,15,1,0,2,1,10,8,4,19,2,0
2010/11,2010-10-02,29,Birmingham,Everton,AwayWin,Draw,0,0,6,3,6,5,0,0,2,0,11,6,5,11,0,0
2010/11,2010-10-02,33,Stoke,Blackburn,HomeWin,Draw,1,0,18,11,8,8,2,0,0,0,7,4,6,13,3,0
2010/11,2010-10-02,17,Sunderland,"Man 
United",Draw,Draw,0,0,14,8,10,10,1,0,0,0,10,4,4,6,2,0
2010/11,2010-10-02,3,Tottenham,"Aston 
Villa",HomeWin,Draw,2,1,19,10,10,12,1,0,1,1,13,4,4,19,3,0
2010/11,2010-10-02,10,"West 
Brom",Bolton,Draw,Draw,1,0,17,9,7,8,3,0,1,0,10,5,4,10,2,0
2010/11,2010-10-02,32,"West 
Ham",Fulham,Draw,AwayWin,1,0,12,5,2,15,3,0,1,1,17,5,3,8,1,0
2010/11,2010-10-02,15,Wigan,Wolves,HomeWin,Draw,2,0,24,17,3,9,1,0,0,0,2,0,3,12,2,1
